simSteps Time(ms) Input(Iapp) Output(V_axon)
572 0.029 0.000 -57.29109719
573 0.029 0.000 -57.29109518
574 0.029 0.000 -57.29109325
575 0.029 0.000 -57.29109139
576 0.029 0.000 -57.29108962
577 0.029 0.000 -57.29108794
578 0.029 0.000 -57.29108637
579 0.029 0.000 -57.29108492
580 0.029 0.000 -57.29108359
581 0.029 0.000 -57.29108239
582 0.029 0.000 -57.29108133
583 0.029 0.000 -57.29108041
584 0.029 0.000 -57.29107966
585 0.029 0.000 -57.29107907
586 0.029 0.000 -57.29107865
587 0.029 0.000 -57.29107842
588 0.029 0.000 -57.29107838
589 0.029 0.000 -57.29107853
590 0.029 0.000 -57.29107889
591 0.030 0.000 -57.29107946
592 0.030 0.000 -57.29108026
593 0.030 0.000 -57.29108129
594 0.030 0.000 -57.29108255
595 0.030 0.000 -57.29108406
596 0.030 0.000 -57.29108582
597 0.030 0.000 -57.29108784
598 0.030 0.000 -57.29109012
599 0.030 0.000 -57.29109269
600 0.030 0.000 -57.29109553
601 0.030 0.000 -57.29109866
602 0.030 0.000 -57.29110209
603 0.030 0.000 -57.29110582
604 0.030 0.000 -57.29110987
605 0.030 0.000 -57.29111423
606 0.030 0.000 -57.29111891
607 0.030 0.000 -57.29112393
608 0.030 0.000 -57.29112928
609 0.030 0.000 -57.29113498
610 0.030 0.000 -57.29114103
611 0.031 0.000 -57.29114743
612 0.031 0.000 -57.29115420
613 0.031 0.000 -57.29116134
614 0.031 0.000 -57.29116886
615 0.031 0.000 -57.29117676
616 0.031 0.000 -57.29118505
617 0.031 0.000 -57.29119373
618 0.031 0.000 -57.29120282
619 0.031 0.000 -57.29121231
620 0.031 0.000 -57.29122222
621 0.031 0.000 -57.29123255
622 0.031 0.000 -57.29124330
623 0.031 0.000 -57.29125448
624 0.031 0.000 -57.29126610
625 0.031 0.000 -57.29127816
626 0.031 0.000 -57.29129067
627 0.031 0.000 -57.29130364
628 0.031 0.000 -57.29131706
629 0.031 0.000 -57.29133095
630 0.032 0.000 -57.29134531
631 0.032 0.000 -57.29136014
632 0.032 0.000 -57.29137545
633 0.032 0.000 -57.29139125
634 0.032 0.000 -57.29140754
635 0.032 0.000 -57.29142433
636 0.032 0.000 -57.29144162
637 0.032 0.000 -57.29145941
638 0.032 0.000 -57.29147772
639 0.032 0.000 -57.29149654
640 0.032 0.000 -57.29151588
641 0.032 0.000 -57.29153574
642 0.032 0.000 -57.29155614
643 0.032 0.000 -57.29157707
644 0.032 0.000 -57.29159854
645 0.032 0.000 -57.29162056
646 0.032 0.000 -57.29164312
647 0.032 0.000 -57.29166624
648 0.032 0.000 -57.29168991
649 0.032 0.000 -57.29171414
